Item Description,GTIN,Pack Type,Price,UOM,Category
TRAY FOOD PLAIN 3LB KRAFT,00794297966278,2/250 CT,$26.02,CS,FOOD PAPER PRT
Tray Nacho 2 Compartment 6x8,00022361870177,1/500 ct,$55.78,CS,Non-Foods
TRAY PAPER PULP FOOD WHT 3LB,00074865755412,1/500 CT,$68.82,CS,MLD FIBER
TRAY PAPER PULP FOOD WHT 3LB,921222,,$69.00/$14.00,1/500,
TRAY PLAS BLK PET RND,00074865315838,36/16IN,$56.57,CS,CATER PLASTIC
TRAY PLAS BLK POLY RND STURDY,10889356151737,36/12IN,$50.98,CS,CATER PLASTIC
TRAY PLAS CATER BLK FLT SMRTLK,00074865930642,25/12 IN,$35.79,CS,TRAYS ALUM
WIPER TOWEL 13X20 ECONO PNK/WH,10094073061515,200/CT,$34.48,CS,FOODSERVICE
WOOD LOG OAK SPLIT 16 IN,00815932003414,1/50LB,$28.40,CS,MISC
WRAP DELI DRY WAX FOLD 8X10.75,10074865014721,8/500 CT,$58.27,CS,DELI  WAXED
WRAP FOIL CUSH-FLD 14X16,10027901075347,2/500 CT,$98.84,CS,SHEETS LAM
WRAP PAPER WHT GREAS RES 14X14,10078731977905,4/1000CT,$95.13,CS,SANDWICH
WRAP SAND 12X12 DRYWAX RED CHK,10072181003177,1/2000CT,$57.96,CS,DELI  WAXED
WRAP SAND 12X12 DRYWAX RED CHK,521201,,$60.00/$3.00,1/2000,
WRAP SAND DRYWAX BLUE CHECK,10072181003092,2000/12X12N,$70.09,CS,DELI  WAXED
