Item Description,GTIN,Pack Type,Price,UOM,Category
Coffee Pod Cafe Domingo,10785357027821,6/16 ct,$53.70,CS,Single Cup (ex:Kcup)
Coffee Pod Cookie Dough,10611247395346,4/24 ct,$61.05,CS,Single Cup (ex:Kcup)
Coffee Pod Irish Mocha,10611247394592,4/24 ct,$53.29,CS,Single Cup (ex:Kcup)
Coffee Pod Major Dickason,10785357027814,6/16 ct,$53.70,CS,Single Cup (ex:Kcup)
Coffee Pumpkin Spice K cup,10099555067580,4/24 ct,$66.80/$16.70,CS/BX,Single Cup (ex:Kcup)
Coffee Triple Draft Latte,00604913005017,12/11 oz,$28.05,CS,Aseptic Drinks
Coffee Vanilla Draft Latte,00604913005024,12/11 oz,$28.05,CS,Aseptic Drinks
Coffee Whole Bean,00074471218929,4/32 oz,$147.48,CS,Vend Reg Whole Bn
Coke 20oz BTL,915401,24/20oz BTL,$30.46/$1.27,Case/Each,
Coke Soda Classic PET,00049000000443,24/20 oz,$40.90,CS,Carb Cnd Drk/Sda
Coke Soda Diet PET,10049000000457,24/20 oz,$40.90,CS,Carb Cnd Drk/Sda
Coke Soda Zero PET,10049000040866,24/20 oz,$36.08,CS,Bottled Drinks
Coke Zero 20oz BTL,915402,24/20oz BTL,$30.46/$1.27,Case/Each,
COLD BREW VAN MCHA LATTE 2/6LT,00818228000579,2/6 LTR,$76.04,CS,BEVERAGE
CRD - Angostura Bitters,628205,1,$28.56,each,
Creamer Peppermint Mocha,00050000780181,6/16 oz,$16.03,CS,Beverages
Dark Chocolate Protein,10856461008713,3/4/11.16 oz,$22.63,CS,Bottled Drinks
Dasani Water,10049000026563,12/1 ltr,$25.46,CS,Water
Dasani Water 20oz BTL,915403,24/20oz BTL,$16.56/$0.69,Case/Each,
Dasani Water PET,10049000009771,24/20 oz,$24.12,CS,Water
Diet Coke 20oz BTL,915404,24/20oz BTL,$30.46/$1.27,Case/Each,
Diet Dr Pepper 20oz BTL,915405,24/20oz BTL,$30.46/$1.27,Case/Each,
Dr Pepper Diet Soda Can,00075062500171,24/12 oz,$13.53,CS,Carb Cnd Drk/Sda
Dr Pepper Frdg Pk Can Soda,10780000821665,2/12/12 oz,$13.53,CS,Carb Cnd Drk/Sda
Dr Pepper Soda 16 9z PET,00078000804676,24/16.9 oz,$29.67,CS,Carb Bottled Soda
DRINK BLUEBERRY BRASILA,00813694026665,12/18 FOZ,$20.52,CS,MISC.
Drink Cherry Vanilla,10860003223304,12/12 oz,$19.48,CS,Canned Drinks
Drink Classic Grape,30860003223391,12/12 oz,$19.48,CS,Canned Drinks
Drink Classic Root Beer,10860439001064,12/12 oz,$19.48,CS,Canned Drinks
DRINK COCONUT MOLOKAI,00813694026726,12/18 OZ,$20.52,CS,INDIVIDUALS
Drink Cranberry Cocktail PET,10041800301956,12/16 oz,$17.39,CS,Bottled Drinks
Drink Cream Soda,10850027702183,12/12 oz,$19.48,CS,Canned Drinks
Drink Crm Sda Prebiotic SleekC,10850062639109,12/12 oz,$19.48,CS,Canned Drinks
Drink Dragon Fruit Mango Can,,12/12 oz,$20.73,CS,Canned Drinks
DRINK ENERGY,00611269917475,24/12 OZ,$53.35,CS,JCE/DRINKS-MISC
Drink Energy Berry,10719410504127,4/12/1.93 oz,$89.52/$22.38,CS/BX,Energy Drinks
Drink Energy Berry Blast,00016571958619,12/12 oz,$17.71,CS,Energy Drinks
Drink Energy Berry Extra S,10719410718128,12/1.93 oz,$25.85,BX,Energy Drinks
Drink Energy Berry Extra S,10719410718128,18/12/1.93 oz,$453.84/$25.21,CS/BX,Energy Drinks
Drink Energy Berry Regular S,10719410500181,12/1.93 oz,$22.94,BX,Energy Drinks
Drink Energy Berry Regular S,10719410500181,18/12/1.93 oz,$402.85/$22.38,CS/BX,Energy Drinks
Drink Energy Blu Rasp Extra S,10719410768123,18/12/1.93 oz,$453.84/$25.21,CS/BX,Energy Drinks
DRINK ENERGY BLUE RASPBERRY,20842595134920,12/16OZ,$27.58,CS,ENERGY
Drink Energy Cherry Lime,20842595135101,12/12 oz,$25.03,CS,Energy Drinks
DRINK ENERGY COCONT BRY EDITON,00611269322897,24/12 OZ,$53.35,CS,JCE/DRINKS-MISC
Drink Energy Fruit Punch,00045529890015,12/16 oz,,CS,Energy Drinks
Drink Energy Grape Extra S,10719410728127,12/1.93 oz,$25.85,BX,Energy Drinks
Drink Energy Grape Extra S,10719410728127,18/12/1.93 oz,$453.84/$25.21,CS/BX,Energy Drinks
Drink Energy Iced Vanilla Berr,00611269001853,24/12 oz,$58.83,CS,Energy Drinks
Drink Energy Original 4 Pk SF,00611269277364,6/4/8.4 oz,$44.72/$7.45,CS/BX,Energy Drinks
Drink Energy Raspberry Lemon,20842595135125,12/12 oz,$25.03,CS,Energy Drinks
Drink Energy RB Coconut Berry,00611269322897,24/12 oz,$58.83,CS,Energy Drinks
Drink Energy RB Coconut Berry,00611269281613,24/8.4 oz,$44.72,CS,Energy Drinks
DRINK ENERGY RED BULL,00611269991246,24/8.4 OZ,$40.67,CS,JCE/DRINKS-MISC
Drink Energy Red Bull,00611269991246,24/8.4 oz,$44.72,CS,Energy Drinks
Drink Energy Red Bull,00611269917475,24/12 oz,$58.83,CS,Energy Drinks
DRINK ENERGY RED BULL SF,00611269423754,24/12 OZ,$53.35,CS,JCE/DRINKS-MISC
Drink Energy Red Bull Tropical,00611269115482,24/12 oz,$58.83,CS,Energy Drinks
DRINK ENERGY RED EDITION WTRML,00611269453560,24/12 OZ,$53.35,CS,ENERGY
DRINK ENERGY RED EDITION WTRML,00611269454482,24/8.4 OZ,$40.67,CS,JCE/DRINKS-MISC
DRINK ENERGY REDBULL SF,00611269122114,24/8.4 OZ,$40.67,CS,JCE/DRINKS-MISC
Drink Energy SF Iced Van Berry,00611269002478,24/8.4 oz,$44.72,CS,Energy Drinks
Drink Energy SrApple RTL Micro,10719410738126,18/12/1.93 oz,$453.84/$25.21,CS/BX,Energy Drinks
Drink Energy Strawberry Cooler,00045529890008,12/16 oz,,CS,Energy Drinks
Drink Energy Strawbery Apricot,00611269001297,24/8.4 oz,$44.72,CS,Energy Drinks
Drink Energy Strawbery Apricot,00611269001310,24/12 oz,$58.83,CS,Energy Drinks
DRINK ENERGY STRW APRICOT,00611269001310,24/12 OZ,$53.35,CS,ENERGY
Drink Energy Sugar Free,00611269423754,24/12 oz,$58.83,CS,Energy Drinks
Drink Energy Sugar Free RB,00611269122114,24/8.4 oz,$44.72,CS,Energy Drinks
Drink Energy Trop Brst Extr S,10719410785120,18/12/1.93,$453.84/$25.21,CS/BX,Energy Drinks
Drink Energy Tropical RB,00611269163629,6/4/8.4 oz,$44.72/$7.45,CS/BX,Energy Drinks
Drink Energy Tropical Red Bull,00611269281620,24/8.4 oz,$44.72,CS,Energy Drinks
Drink Energy Watermelon Edtion,00611269453560,24/12 oz,$58.83,CS,Energy Drinks
Drink Energy Watermelon Edtion,00611269454482,24/8.4 oz,$44.72,CS,Energy Drinks
Drink Energy Watermelon SFree,00611269002072,24/12 oz,,CS,Energy Drinks
Drink Energy Watermln Extra S,10719410775121,18/12/1.93 oz,$453.84/$25.21,CS/BX,Energy Drinks
Drink Energy White Peach Summr,00611269002782,24/12 oz,$58.83,CS,Energy Drinks
Drink Energy Wild Berries,00611269003116,24/8.4 oz,$44.72,CS,Energy Drinks
Drink Energy Wild Berries,00611269003130,24/12 oz,$58.83,CS,Energy Drinks
Drink Energy Wild Berries SF,00611269003031,24/8.4 oz,$44.72,CS,Energy Drinks
DRINK ENERGY YEL,00611269115482,24/12 OZ,$53.35,CS,JCE/DRINKS-MISC
DRINK ENERGY YELLOW EDITION,00611269281620,24/8.4OZ,$40.67,CS,ENERGY
Drink Energy Zero Red Bull,06112696150434,24/8.4 oz,$44.72,CS,Energy Drinks
