Item Description,GTIN,Pack Type,Price,UOM,Category
EMPANADA CINNAMON APPLE K7165,00745378716503,100 / 1 OZ,$104.38,CS,BAKERY
EXTRACT PURE ALMOND,10025638830161,1 / 18 OZ,$23.42,CS,PANTRY
EXTRACT PURE LEMON,10025638850169,1 / 18 OZ,$23.51,CS,PANTRY
FILLING PIE APPLE,10074865382721,6/#10,$79.46/$13.24,CS/EA,CANNED
FILLING PIE BLUEBERRY,10074865104309,6/#10,$136.05/$22.68,CS/EA,CANNED
FILLING PIE CHERRY,10074865104316,6/#10,$148.67/$24.78,CS/EA,CANNED
FILLING PIE PEACH,10074865103760,6/#10,$102.63/$17.11,CS/EA,CANNED
GELATIN SHEETS SILVER,04008726245107,1 / 500 CT,$63.83,CS,PANTRY
GELATIN STRAWBERRY,10074865103708,12/24OZ,$48.02,CS,FLAVORED
GELATIN STWBRY ORG SUGARFREE,20027000419193,48/3.25OZ,$16.87,CS,FLAVORED
GLAZE APRICOT CRISTAL LARGE HOT PROCESS,,1 / 26.4 LB,$144.84,CS,PANTRY
GLAZE DONUT HNY DIP,00049800116016,1/12 LB,$29.73,CS,READY TO USE
GLUCOSE SYRUP PAIL,03215450070115,1 / 15.4 LB,$66.68,CS,PANTRY
HAMBURGER BUN GLUTEN FREE 4 CT,10698997809132,8 / 10.4 OZ,$45.15,CS,BAKERY
HAMBURGER BUN SESAME MINI K504,00745378050409,300 / 0.42 OZ,$102.35,CS,BAKERY
HOTDOG BUN GLUTEN FREE CLASSIC,10698997809323,6 / 12.9 OZ,$43.15,CS,BAKERY
HUSHPUPPY SOUTHERN ORIG,00074865682084,2/5 LB,$19.33,CS,HEAT AND SERVE
ICING CHOC BETTERCREME WHIP,00049800069398,1/9 LB,$41.51,CS,READY TO USE
ICING RTU CHOC FUDGE,10016000112152,2/11 LB,$81.94,CS,READY TO USE
ICING RTU VANILLA CREAM,10016000112169,2/11 LB,$73.61,CS,READY TO USE
ICING VANILLA BETTERCREAM WHPD,00049800110922,1/15 LB,$56.42,CS,READY TO USE
ICING VANILLA BETTERCREME,10049800068084,12/2 LB,$72.06,CS,READY TO USE
ICING VANILLA HT N ICE,00049800099760,1/12 LB,$30.71,CS,READY TO USE
LADYFINGER PLAIN SOFT 144 CT,10012900001060,12 / 3 OZ,$30.57,CS,BAKERY
MACARON ASSORTED CLASSIC 144 CT,13187670611164,2 / 72 CT,$121.15,CS,BAKERY
MUFFIN APPLE CINN WG RF IW,10013087101468,72/2OZ,$33.77,CS,FULLY BKD IND W
MUFFIN ASST IW,10032100086353,24/4 OZ,$28.00,CS,FULLY BKD IND W
MUFFIN BANANA BRS SPRM SO04021,10013087010029,24/4 OZ,$30.51,CS,FULLY BKD BULK
MUFFIN BANANA IW DEL ESS,10013087101444,72/2 OZ,$31.84,CS,BATTER
MUFFIN BATTER APPLE CINNAMON,00860010999585,1 / 18 LB,$110.77,CS,BAKERY
MUFFIN BATTER BANANA NUT,00860010999592,1 / 18 LB,$99.47,CS,BAKERY
MUFFIN BATTER BLUEBERRY,00860011776406,1 / 18 LB,$95.89,CS,BAKERY
MUFFIN BATTER CHOC BRUTE,,1 / 18 LB,$126.02,CS,BAKERY
