Item Description,UOM,Seq,Pack Type,Price,Last Inventory Qty,Inv Count,Total Price
PORK CHOP B/I C/C 4 OZ SEAS,CS,126,40/4 OZ,$46.34,38.00 CS,31.00 CS,"$1,436.54"
PORK CHOP B/I C/C 4 OZ SEAS,EA,126,40/4 OZ,$1.16,0.00 EA,0.00 EA,$0.00
ROLL CINNAMON T&S,CS,127,24/6 OZ,$33.99,7.00 CS,7.00 CS,$237.93
ROLL CINNAMON T&S,EA,127,24/6 OZ,$1.42,0.00 EA,0.00 EA,$0.00
SAUSAGE JALAPENO HICK SMKD 4/1,CS,128,1/10 LB,$42.18,20.00 CS,18.00 CS,$759.24
SAUSAGE JALAPENO HICK SMKD 4/1,EA,128,1/10 LB,$42.18,0.00 EA,0.00 EA,$0.00
SAUSAGE POLISH ROPE KIELB,CS,129,1/20 LB,$97.83,2.00 CS,2.00 CS,$195.66
SAUSAGE POLISH ROPE KIELB,EA,129,1/20 LB,$97.83,0.00 EA,0.00 EA,$0.00
TURKEY TOM GR A WHL 16-20,CS,130,2/16-20#,$1.75,125.34 CS,125.34 CS,$219.34
TURKEY BRST RST PET RTC,CS,131,6/5#AVG,$5.33,226.02 CS,184.13 CS,$981.41
CRABCAKE BUCKHEAD 3 OZ,CS,132,,$39.03,3.00 CS,0.00 CS,$0.00
CRABCAKE BUCKHEAD 3 OZ,EA,132,,$1.30,0.00 EA,0.00 EA,$0.00
SALMON ATL PRTN BL/SL6OZ FRO,CS,133,1/10 LB,$128.23,23.00 CS,5.00 CS,$641.15
SALMON ATL PRTN BL/SL6OZ FRO,EA,133,1/10 LB,$128.20,0.00 EA,0.00 EA,$0.00
CHICKEN WING RSTD PCK,CS,134,3/5 LB,$64.81,3.00 CS,0.00 CS,$0.00
CHICKEN WING RSTD PCK,EA,134,3/5 LB,$21.60,0.00 EA,0.00 EA,$0.00
CHICKEN TNDR FRTTR ORIG,CS,135,2/5LB,$39.83,0.00 CS,0.00 CS,$0.00
CHICKEN TNDR FRTTR ORIG,EA,135,2/5LB,$19.92,0.00 EA,0.00 EA,$0.00
SAUSAGE SUMMER,CS,136,16/10 OZ,$86.81,4.00 CS,4.00 CS,$347.24
SAUSAGE SUMMER,EA,136,16/10 OZ,$5.43,0.00 EA,0.00 EA,$0.00
